"Name","Activity type","Description"
"Benton Township, OH","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","367","39.458832","-82.578207","259.0","","11","0","2015-10-11T20:49:00.886Z","","",""
"1","368","39.458743","-82.578193","267.0","135.0","11","0.5","2015-10-11T20:49:16.035Z","","",""
"1","369","39.458733","-82.578194","267.0","135.0","10","0.5","2015-10-11T20:49:16.897Z","","",""
"1","370","39.458644","-82.578183","261.0","","10","0","2015-10-11T20:49:25.944Z","","",""
"1","371","39.458642","-82.578185","261.0","","10","0","2015-10-11T20:49:26.885Z","","",""
"1","372","39.458554","-82.578165","259.0","135.0","11","0.75","2015-10-11T20:49:40.243Z","","",""
"1","373","39.458539","-82.578162","258.0","162.0","12","0.75","2015-10-11T20:49:40.880Z","","",""
"1","374","39.458457","-82.578147","259.0","166.0","11","0.75","2015-10-11T20:49:46.083Z","","",""
"1","375","39.458443","-82.578151","261.0","","11","0","2015-10-11T20:49:46.841Z","","",""
"1","376","39.458388","-82.57824","262.0","166.0","10","0.75","2015-10-11T20:49:59.968Z","","",""
"1","377","39.458384","-82.578252","260.0","166.0","10","0.5","2015-10-11T20:50:00.881Z","","",""
"1","378","39.458311","-82.578313","266.0","","9","0","2015-10-11T20:50:15.051Z","","",""
"1","379","39.458305","-82.578312","266.0","","9","0","2015-10-11T20:50:15.963Z","","",""
"1","380","39.458216","-82.578294","264.0","166.0","10","0.5","2015-10-11T20:50:38.626Z","","",""
"1","381","39.458202","-82.578297","263.0","","10","0","2015-10-11T20:50:38.841Z","","",""
"1","382","39.45812","-82.578268","261.0","","10","0","2015-10-11T20:50:49.059Z","","",""
"1","383","39.45811","-82.578264","261.0","","10","0","2015-10-11T20:50:49.980Z","","",""
"1","384","39.458044","-82.578217","262.0","","11","0","2015-10-11T20:50:56.051Z","","",""
"1","385","39.458029","-82.57821","262.0","","10","0","2015-10-11T20:50:56.959Z","","",""
"1","386","39.457976","-82.578126","263.0","166.0","10","0.25","2015-10-11T20:52:04.399Z","","",""
"1","387","39.457968","-82.578119","265.0","166.0","10","0.5","2015-10-11T20:52:04.867Z","","",""
"1","388","39.457911","-82.578044","264.0","131.0","10","0.75","2015-10-11T20:52:10.953Z","","",""
"1","389","39.457897","-82.578034","264.0","131.0","10","0.75","2015-10-11T20:52:11.839Z","","",""
"1","390","39.457831","-82.577954","266.0","","11","0","2015-10-11T20:52:21.103Z","","",""
"1","391","39.45783","-82.577953","266.0","","11","0","2015-10-11T20:52:22.008Z","","",""
"1","392","39.45782","-82.577844","266.0","131.0","11","0.75","2015-10-11T20:52:33.028Z","","",""
"1","393","39.457815","-82.577827","265.0","131.0","11","0.75","2015-10-11T20:52:33.976Z","","",""
"1","394","39.457782","-82.57772","262.0","","10","0","2015-10-11T20:52:46.067Z","","",""
"1","395","39.457781","-82.577712","262.0","","10","0","2015-10-11T20:52:46.904Z","","",""
"1","396","39.457777","-82.577611","263.0","90.0","11","1","2015-10-11T20:52:57.764Z","","",""
"1","397","39.457772","-82.577586","265.0","100.0","11","1.25","2015-10-11T20:52:57.885Z","","",""
"1","398","39.457748","-82.577481","266.0","99.0","11","1.25","2015-10-11T20:53:02.762Z","","",""
"1","399","39.457744","-82.577458","265.0","97.0","11","1.25","2015-10-11T20:53:02.944Z","","",""
"1","400","39.457717","-82.577351","268.0","117.0","10","0.75","2015-10-11T20:53:09.975Z","","",""
"1","401","39.457708","-82.577346","268.0","143.0","10","0.75","2015-10-11T20:53:10.952Z","","",""
"1","402","39.457634","-82.577303","267.0","143.0","10","0.5","2015-10-11T20:53:27.072Z","","",""
"1","403","39.457622","-82.577291","266.0","","10","0","2015-10-11T20:53:27.902Z","","",""
"1","404","39.457537","-82.577261","264.0","143.0","11","0.75","2015-10-11T20:53:42.704Z","","",""
"1","405","39.457529","-82.577259","264.0","143.0","11","0.75","2015-10-11T20:53:43.042Z","","",""
"1","406","39.457452","-82.577212","262.0","","10","0","2015-10-11T20:53:55.064Z","","",""
"1","407","39.457444","-82.577212","260.0","","10","0","2015-10-11T20:53:55.936Z","","",""
"1","408","39.457356","-82.577198","259.0","","10","0","2015-10-11T20:54:22.050Z","","",""
"1","409","39.457353","-82.577198","260.0","","11","0","2015-10-11T20:54:23.006Z","","",""
"1","410","39.457271","-82.577194","257.0","143.0","11","0.5","2015-10-11T20:54:34.064Z","","",""
"1","411","39.457256","-82.57719","257.0","143.0","11","0.5","2015-10-11T20:54:34.877Z","","",""
"1","412","39.457173","-82.577183","256.0","","10","0","2015-10-11T20:54:39.947Z","","",""
"1","413","39.457164","-82.577187","257.0","","10","0","2015-10-11T20:54:40.851Z","","",""
"1","414","39.457088","-82.577241","259.0","","10","0","2015-10-11T20:54:58.945Z","","",""
"1","415","39.457085","-82.577248","258.0","","10","0","2015-10-11T20:54:59.885Z","","",""
"1","416","39.457003","-82.577292","254.0","143.0","10","0.5","2015-10-11T20:55:15.042Z","","",""
"1","417","39.456994","-82.577298","254.0","143.0","10","0.75","2015-10-11T20:55:15.870Z","","",""
"1","418","39.456911","-82.577323","254.0","","9","0","2015-10-11T20:55:23.439Z","","",""
"1","419","39.456906","-82.577327","254.0","","9","0","2015-10-11T20:55:23.945Z","","",""
"1","420","39.456828","-82.577271","263.0","143.0","6","0.75","2015-10-11T20:57:10.059Z","","",""
"1","421","39.45682","-82.577272","263.0","","5","0","2015-10-11T20:57:10.966Z","","",""
"1","422","39.456743","-82.577313","263.0","","5","0","2015-10-11T20:57:49.106Z","","",""
"1","423","39.456736","-82.577316","262.0","","5","0","2015-10-11T20:57:49.946Z","","",""
"1","424","39.45665","-82.577352","262.0","143.0","6","0.5","2015-10-11T20:58:02.034Z","","",""
"1","425","39.456641","-82.577352","262.0","143.0","6","0.5","2015-10-11T20:58:02.934Z","","",""
"1","426","39.456556","-82.577376","261.0","143.0","7","0.75","2015-10-11T20:58:10.984Z","","",""
"1","427","39.456548","-82.577384","261.0","143.0","6","0.5","2015-10-11T20:58:11.914Z","","",""
"1","428","39.456487","-82.577454","260.0","143.0","6","0.5","2015-10-11T20:58:20.971Z","","",""
"1","429","39.456477","-82.577459","261.0","143.0","6","0.5","2015-10-11T20:58:21.837Z","","",""
"1","430","39.456389","-82.577481","267.0","","5","0","2015-10-11T20:58:35.031Z","","",""
"1","431","39.456386","-82.577479","267.0","143.0","5","0.25","2015-10-11T20:58:35.980Z","","",""
"1","432","39.456327","-82.577406","267.0","143.0","7","0.5","2015-10-11T20:58:43.967Z","","",""
"1","433","39.456321","-82.577396","267.0","143.0","7","0.5","2015-10-11T20:58:44.872Z","","",""
"1","434","39.456254","-82.57732","264.0","","11","0","2015-10-11T20:58:56.025Z","","",""
"1","435","39.45625","-82.577315","264.0","","10","0","2015-10-11T20:58:56.915Z","","",""
"1","436","39.456181","-82.577261","264.0","128.0","11","0.75","2015-10-11T20:59:04.917Z","","",""
"1","437","39.456173","-82.577252","264.0","128.0","12","0.75","2015-10-11T20:59:05.854Z","","",""
"1","438","39.456141","-82.577149","262.0","128.0","10","0.5","2015-10-11T20:59:16.998Z","","",""
"1","439","39.456143","-82.577137","261.0","128.0","10","0.25","2015-10-11T20:59:18.196Z","","",""
"1","440","39.456145","-82.577023","256.0","128.0","10","0.5","2015-10-11T20:59:29.070Z","","",""
"1","441","39.456147","-82.577014","257.0","128.0","10","0.5","2015-10-11T20:59:29.956Z","","",""
"1","442","39.456144","-82.576903","258.0","128.0","11","0.5","2015-10-11T20:59:38.822Z","","",""
"1","443","39.456148","-82.57689","258.0","128.0","11","0.5","2015-10-11T20:59:38.983Z","","",""
"1","444","39.456207","-82.576814","262.0","128.0","10","0.5","2015-10-11T20:59:45.936Z","","",""
"1","445","39.456213","-82.576806","260.0","128.0","10","0.5","2015-10-11T20:59:46.875Z","","",""
"1","446","39.45627","-82.576728","261.0","128.0","12","0.75","2015-10-11T20:59:54.931Z","","",""
"1","447","39.456278","-82.576721","260.0","128.0","12","0.75","2015-10-11T20:59:55.953Z","","",""
"1","448","39.45627","-82.576611","262.0","","5","0","2015-10-11T21:01:54.555Z","","",""
"1","449","39.456269","-82.576603","262.0","","5","0","2015-10-11T21:01:54.970Z","","",""
"1","450","39.456218","-82.576508","263.0","","5","0","2015-10-11T21:02:42.980Z","","",""
"1","451","39.456208","-82.576493","264.0","","5","0","2015-10-11T21:02:43.857Z","","",""
"1","452","39.45613","-82.576455","263.0","128.0","10","0.5","2015-10-11T21:03:05.935Z","","",""
"1","453","39.456117","-82.576451","263.0","128.0","11","0.5","2015-10-11T21:03:06.866Z","","",""
"1","454","39.456036","-82.576423","259.0","128.0","11","0.5","2015-10-11T21:03:13.159Z","","",""
"1","455","39.456027","-82.576422","260.0","128.0","11","0.5","2015-10-11T21:03:13.980Z","","",""
"1","456","39.455941","-82.576448","263.0","","10","0","2015-10-11T21:03:21.029Z","","",""
"1","457","39.455933","-82.57645","263.0","","10","0","2015-10-11T21:03:21.953Z","","",""
"1","458","39.455845","-82.576431","268.0","128.0","10","0.25","2015-10-11T21:04:07.104Z","","",""
"1","459","39.45584","-82.57643","268.0","128.0","11","0.5","2015-10-11T21:04:07.887Z","","",""
"1","460","39.45575","-82.576419","269.0","","10","0","2015-10-11T21:04:18.982Z","","",""
"1","461","39.455743","-82.576415","269.0","","10","0","2015-10-11T21:04:19.868Z","","",""
"1","462","39.455665","-82.576362","266.0","","5","0","2015-10-11T21:04:29.003Z","","",""
"1","463","39.45566","-82.576356","266.0","","5","0","2015-10-11T21:04:29.975Z","","",""
"1","464","39.455599","-82.576282","267.0","129.0","5","0.75","2015-10-11T21:04:42.962Z","","",""
"1","465","39.455587","-82.576274","267.0","129.0","5","0.75","2015-10-11T21:04:43.875Z","","",""
"1","466","39.455514","-82.576214","263.0","129.0","8","0.75","2015-10-11T21:04:49.946Z","","",""
"1","467","39.455499","-82.576211","263.0","129.0","8","0.75","2015-10-11T21:04:50.867Z","","",""
"1","468","39.455426","-82.576183","262.0","155.0","8","1.25","2015-10-11T21:04:54.020Z","","",""
"1","469","39.455403","-82.576167","262.0","149.0","8","1.25","2015-10-11T21:04:54.923Z","","",""
"1","470","39.455325","-82.576136","258.0","159.0","6","1","2015-10-11T21:05:00.100Z","","",""
"1","471","39.455313","-82.576135","259.0","164.0","6","1","2015-10-11T21:05:00.895Z","","",""
"1","472","39.455267","-82.576041","260.0","120.0","6","0.75","2015-10-11T21:05:15.957Z","","",""
"1","473","39.455261","-82.576027","257.0","107.0","6","0.75","2015-10-11T21:05:16.871Z","","",""
"1","474","39.455219","-82.57593","259.0","112.0","10","0.75","2015-10-11T21:05:25.084Z","","",""
"1","475","39.455211","-82.575928","260.0","112.0","10","0.5","2015-10-11T21:05:25.895Z","","",""
"1","476","39.455123","-82.575916","260.0","112.0","10","0.75","2015-10-11T21:05:42.766Z","","",""
"1","477","39.455107","-82.575913","258.0","112.0","10","0.75","2015-10-11T21:05:42.917Z","","",""
"1","478","39.455025","-82.575886","254.0","147.0","10","0.75","2015-10-11T21:05:49.971Z","","",""
"1","479","39.455016","-82.575886","255.0","147.0","11","0.75","2015-10-11T21:05:50.892Z","","",""
"1","480","39.454943","-82.57585","257.0","142.0","11","0.75","2015-10-11T21:05:57.798Z","","",""
"1","481","39.454931","-82.575843","255.0","149.0","11","0.75","2015-10-11T21:05:57.976Z","","",""
"1","482","39.454851","-82.575807","260.0","","9","0","2015-10-11T21:06:15.065Z","","",""
"1","483","39.454844","-82.575806","260.0","","9","0","2015-10-11T21:06:15.944Z","","",""
"1","484","39.454756","-82.575791","256.0","140.0","10","0.25","2015-10-11T21:06:32.212Z","","",""
"1","485","39.454747","-82.575789","258.0","140.0","10","0.5","2015-10-11T21:06:32.889Z","","",""
"1","486","39.454661","-82.575759","260.0","","9","0","2015-10-11T21:06:42.897Z","","",""
"1","487","39.454654","-82.575759","260.0","","9","0","2015-10-11T21:06:43.868Z","","",""
"1","488","39.454577","-82.575764","262.0","140.0","10","0.5","2015-10-11T21:06:55.033Z","","",""
"1","489","39.45456","-82.575765","262.0","","10","0","2015-10-11T21:06:55.937Z","","",""
"1","490","39.454479","-82.575745","263.0","140.0","10","0.75","2015-10-11T21:07:04.937Z","","",""
"1","491","39.454469","-82.575738","263.0","140.0","10","0.75","2015-10-11T21:07:05.918Z","","",""
"1","492","39.454395","-82.5757","262.0","140.0","10","0.75","2015-10-11T21:07:11.921Z","","",""
"1","493","39.454384","-82.575697","263.0","140.0","10","0.75","2015-10-11T21:07:12.864Z","","",""
"1","494","39.4543","-82.575718","264.0","","9","0","2015-10-11T21:07:51.015Z","","",""
"1","495","39.454294","-82.575717","264.0","","9","0","2015-10-11T21:07:51.976Z","","",""
"1","496","39.454212","-82.575701","261.0","176.0","10","0.75","2015-10-11T21:08:03.733Z","","",""
"1","497","39.454199","-82.575696","262.0","167.0","10","0.75","2015-10-11T21:08:03.931Z","","",""
"1","498","39.45411","-82.575706","264.0","216.0","10","1","2015-10-11T21:08:12.077Z","","",""
"1","499","39.454101","-82.57571","263.0","197.0","10","1","2015-10-11T21:08:12.918Z","","",""
"1","500","39.454023","-82.575764","256.0","","9","0","2015-10-11T21:08:30.964Z","","",""
"1","501","39.454018","-82.575764","255.0","","9","0","2015-10-11T21:08:31.854Z","","",""
"1","502","39.453948","-82.575837","253.0","199.0","4","0.25","2015-10-11T21:09:10.984Z","","",""
"1","503","39.453943","-82.575838","253.0","199.0","4","0.25","2015-10-11T21:09:11.873Z","","",""
"1","504","39.453862","-82.575808","251.0","199.0","4","0.5","2015-10-11T21:09:23.935Z","","",""
"1","505","39.453853","-82.575805","252.0","","4","0","2015-10-11T21:09:24.856Z","","",""
"1","506","39.453782","-82.575747","252.0","199.0","5","0.5","2015-10-11T21:09:37.057Z","","",""
"1","507","39.453775","-82.575741","252.0","199.0","5","0.5","2015-10-11T21:09:37.875Z","","",""
"1","508","39.453715","-82.575668","250.0","199.0","5","0.75","2015-10-11T21:09:43.961Z","","",""
"1","509","39.453709","-82.575656","249.0","199.0","5","0.75","2015-10-11T21:09:44.871Z","","",""
"1","510","39.453675","-82.575559","244.0","199.0","5","0.75","2015-10-11T21:09:52.959Z","","",""
"1","511","39.453665","-82.575545","245.0","199.0","5","0.75","2015-10-11T21:09:53.856Z","","",""
"1","512","39.453603","-82.575468","243.0","","4","0","2015-10-11T21:10:01.966Z","","",""
"1","513","39.453598","-82.575462","243.0","","5","0","2015-10-11T21:10:02.843Z","","",""
"1","514","39.453594","-82.575354","243.0","56.0","10","1","2015-10-11T21:10:13.096Z","","",""
"1","515","39.453596","-82.575338","243.0","66.0","10","0.75","2015-10-11T21:10:13.920Z","","",""
"1","516","39.453647","-82.575248","241.0","22.0","10","0.75","2015-10-11T21:10:22.044Z","","",""
"1","517","39.453654","-82.575235","241.0","35.0","11","0.75","2015-10-11T21:10:22.935Z","","",""
"1","518","39.453699","-82.575142","242.0","54.0","10","0.75","2015-10-11T21:10:29.943Z","","",""
"1","519","39.453707","-82.57513","243.0","43.0","10","0.75","2015-10-11T21:10:30.921Z","","",""
"1","520","39.453775","-82.575067","244.0","27.0","10","0.75","2015-10-11T21:10:39.166Z","","",""
"1","521","39.453784","-82.575057","243.0","30.0","10","0.75","2015-10-11T21:10:39.821Z","","",""
"1","522","39.453855","-82.575005","240.0","10.0","10","0.75","2015-10-11T21:10:48.954Z","","",""
"1","523","39.453866","-82.575001","239.0","10.0","10","0.75","2015-10-11T21:10:49.854Z","","",""
"1","524","39.453928","-82.574942","242.0","10.0","11","0.5","2015-10-11T21:11:00.110Z","","",""
"1","525","39.45394","-82.574934","241.0","10.0","10","0.75","2015-10-11T21:11:00.989Z","","",""
"1","526","39.454028","-82.574933","237.0","6.0","13","1","2015-10-11T21:11:08.074Z","","",""
"1","527","39.45404","-82.574933","236.0","2.0","12","1","2015-10-11T21:11:08.843Z","","",""
"1","528","39.454127","-82.574959","241.0","","12","0","2015-10-11T21:11:16.980Z","","",""
"1","529","39.454134","-82.574958","244.0","349.0","11","0.25","2015-10-11T21:11:17.864Z","","",""
"1","530","39.454218","-82.574922","243.0","349.0","10","0.25","2015-10-11T21:11:31.952Z","","",""
"1","531","39.454223","-82.574919","243.0","349.0","10","0.25","2015-10-11T21:11:32.866Z","","",""
"1","532","39.454252","-82.574813","242.0","","10","0","2015-10-11T21:12:12.040Z","","",""
"1","533","39.454252","-82.574809","242.0","349.0","11","0.25","2015-10-11T21:12:12.912Z","","",""
"1","534","39.454266","-82.574702","240.0","349.0","11","0.75","2015-10-11T21:12:23.380Z","","",""
"1","535","39.454271","-82.57469","242.0","349.0","11","0.5","2015-10-11T21:12:23.955Z","","",""
"1","536","39.454301","-82.574583","239.0","","11","0","2015-10-11T21:12:33.403Z","","",""
"1","537","39.454303","-82.574579","239.0","","12","0","2015-10-11T21:12:33.854Z","","",""
"1","538","39.454381","-82.574558","241.0","","11","0","2015-10-11T21:12:51.943Z","","",""
"1","539","39.454392","-82.574557","241.0","","10","0","2015-10-11T21:12:53.030Z","","",""
"1","540","39.454477","-82.574568","238.0","","10","0","2015-10-11T21:13:04.952Z","","",""
"1","541","39.454484","-82.574569","238.0","349.0","11","0.25","2015-10-11T21:13:05.861Z","","",""
"1","542","39.454571","-82.574542","236.0","349.0","11","0.5","2015-10-11T21:13:21.055Z","","",""
"1","543","39.454572","-82.57453","235.0","349.0","10","0.5","2015-10-11T21:13:21.893Z","","",""
"1","544","39.45452","-82.574443","228.0","","10","0","2015-10-11T21:13:33.187Z","","",""
"1","545","39.454516","-82.574437","228.0","","10","0","2015-10-11T21:13:33.874Z","","",""
"1","546","39.454458","-82.574348","223.0","349.0","10","0.5","2015-10-11T21:13:46.918Z","","",""
"1","547","39.454449","-82.574344","222.0","349.0","10","0.5","2015-10-11T21:13:48.108Z","","",""
"1","548","39.454369","-82.574293","222.0","","10","0","2015-10-11T21:14:01.916Z","","",""
"1","549","39.454367","-82.574292","222.0","","10","0","2015-10-11T21:14:02.841Z","","",""
"1","550","39.454312","-82.574201","224.0","129.0","11","0.75","2015-10-11T21:14:18.934Z","","",""
"1","551","39.454302","-82.57419","222.0","129.0","11","0.75","2015-10-11T21:14:19.856Z","","",""
"1","552","39.454248","-82.574114","215.0","133.0","11","0.75","2015-10-11T21:14:23.952Z","","",""
"1","553","39.454239","-82.574094","216.0","133.0","11","0.75","2015-10-11T21:14:24.836Z","","",""
"1","554","39.454226","-82.573979","217.0","133.0","10","0.5","2015-10-11T21:14:33.314Z","","",""
"1","555","39.454223","-82.573972","216.0","133.0","10","0.5","2015-10-11T21:14:33.861Z","","",""
"1","556","39.454174","-82.573883","214.0","133.0","11","0.5","2015-10-11T21:15:48.946Z","","",""
"1","557","39.454172","-82.573871","215.0","133.0","11","0.5","2015-10-11T21:15:49.850Z","","",""
"1","558","39.454155","-82.573771","214.0","133.0","12","0.75","2015-10-11T21:15:55.940Z","","",""
"1","559","39.454155","-82.573751","214.0","133.0","12","0.75","2015-10-11T21:15:56.815Z","","",""
"1","560","39.454175","-82.57365","214.0","48.0","11","0.75","2015-10-11T21:16:02.740Z","","",""
"1","561","39.45418","-82.573634","216.0","54.0","11","0.75","2015-10-11T21:16:02.854Z","","",""
"1","562","39.454195","-82.573522","212.0","78.0","11","0.75","2015-10-11T21:16:09.923Z","","",""
"1","563","39.454194","-82.573504","214.0","78.0","11","0.75","2015-10-11T21:16:10.837Z","","",""
"1","564","39.454137","-82.573427","206.0","175.0","10","1","2015-10-11T21:16:25.923Z","","",""
"1","565","39.454124","-82.573427","203.0","175.0","11","1.25","2015-10-11T21:16:26.812Z","","",""
"1","566","39.454041","-82.573381","196.0","","10","0","2015-10-11T21:17:23.169Z","","",""
"1","567","39.454041","-82.573381","196.0","","10","0","2015-10-11T21:17:23.841Z","","",""
"1","568","39.453969","-82.573329","199.0","145.0","11","1","2015-10-11T21:17:33.926Z","","",""
"1","569","39.453955","-82.573308","200.0","146.0","11","1","2015-10-11T21:17:34.864Z","","",""
"1","570","39.453904","-82.573231","199.0","","11","0","2015-10-11T21:17:38.188Z","","",""
"1","571","39.453893","-82.573214","199.0","","10","0","2015-10-11T21:17:38.820Z","","",""
"1","572","39.45381","-82.57319","203.0","188.0","10","1","2015-10-11T21:17:49.048Z","","",""
"1","573","39.453795","-82.573188","198.0","186.0","10","1","2015-10-11T21:17:49.996Z","","",""
"1","574","39.453731","-82.573266","197.0","254.0","11","1","2015-10-11T21:17:58.962Z","","",""
"1","575","39.453724","-82.573282","198.0","248.0","11","1","2015-10-11T21:17:59.857Z","","",""
"1","576","39.453678","-82.573368","202.0","242.0","5","0.75","2015-10-11T21:18:08.938Z","","",""
"1","577","39.45367","-82.573382","201.0","237.0","5","0.75","2015-10-11T21:18:09.881Z","","",""
"1","578","39.453609","-82.573464","192.0","245.0","6","1","2015-10-11T21:18:17.912Z","","",""
"1","579","39.4536","-82.573471","191.0","235.0","6","1","2015-10-11T21:18:18.855Z","","",""
"1","580","39.453513","-82.573482","186.0","223.0","10","0.25","2015-10-11T21:19:43.205Z","","",""
"1","581","39.453509","-82.573478","182.0","223.0","10","0.25","2015-10-11T21:19:43.842Z","","",""
"1","582","39.453454","-82.573392","182.0","223.0","4","0.5","2015-10-11T21:20:05.045Z","","",""
"1","583","39.45345","-82.573386","181.0","223.0","4","0.5","2015-10-11T21:20:05.888Z","","",""
"1","584","39.453377","-82.573325","179.0","223.0","4","0.75","2015-10-11T21:20:15.862Z","","",""
"1","585","39.453367","-82.573324","179.0","172.0","5","0.75","2015-10-11T21:20:16.840Z","","",""
"1","586","39.453286","-82.573275","179.0","144.0","4","1","2015-10-11T21:20:26.037Z","","",""
"1","587","39.453282","-82.573264","178.0","137.0","4","1","2015-10-11T21:20:26.850Z","","",""
"1","588","39.453226","-82.573178","178.0","140.0","5","0.75","2015-10-11T21:20:36.002Z","","",""
"1","589","39.453219","-82.573169","179.0","139.0","4","0.75","2015-10-11T21:20:36.943Z","","",""
"1","590","39.453183","-82.573063","179.0","116.0","4","0.75","2015-10-11T21:20:47.964Z","","",""
"1","591","39.453181","-82.573051","179.0","119.0","5","0.75","2015-10-11T21:20:48.951Z","","",""
"1","592","39.453166","-82.572936","179.0","109.0","8","0.75","2015-10-11T21:20:58.995Z","","",""
"1","593","39.453167","-82.572927","180.0","108.0","6","0.75","2015-10-11T21:20:59.837Z","","",""
"1","594","39.453169","-82.572812","183.0","76.0","5","0.75","2015-10-11T21:21:10.874Z","","",""
"1","595","39.453173","-82.572803","184.0","77.0","5","0.75","2015-10-11T21:21:11.808Z","","",""
"1","596","39.45314","-82.572699","186.0","105.0","4","0.75","2015-10-11T21:21:25.995Z","","",""
"1","597","39.45314","-82.572691","186.0","105.0","4","0.75","2015-10-11T21:21:26.847Z","","",""
"1","598","39.453144","-82.572576","188.0","99.0","4","0.75","2015-10-11T21:21:40.037Z","","",""
"1","599","39.453144","-82.572564","189.0","100.0","4","0.75","2015-10-11T21:21:40.890Z","","",""
"1","600","39.45317","-82.572453","186.0","","4","0","2015-10-11T21:22:06.860Z","","",""
"1","601","39.453173","-82.572452","186.0","","4","0","2015-10-11T21:22:07.817Z","","",""
"1","602","39.453183","-82.572497","186.0","","4","0","2015-10-11T21:23:48.023Z","","",""
